Quantos convidados?,Terá festa?,Qual será a cidade?,Terá religioso?,Em que época do ano vocês se casarão?,Quais serviços você pretende contratar?,Qual é o orçamento planejado para o casamento?,Como você imagina o estilo do seu casamento?,Em qual período do dia será a cerimônia?,Qual o tipo de local você deseja para o casamento?,"Vocês estão planejando uma lua de mel? Se sim, qual o destino?"
122,Não,Belo Horizonte,Sim,Verão,"Buffet, Convites/Material gráfico, Cerimonialista, Fotógrafo/Videomaker, Bartender, Som e Iluminação",30500,Casual,Manhã,Em ambiente fechado,Não
350,Sim,Fortaleza,Sim,Outono,"Cerimonialista, Som e Iluminação",20000,Semi-formal,Noite,Ao ar livre,Bali
391,Sim,Porto Alegre,Não,Outono,"Buffet, Bartender, Som e Iluminação, Cerimonialista",48000,Formal,Manhã,Religioso,Maldivas
382,Sim,Fortaleza,Sim,Inverno,"Som e Iluminação, Doces e Bolo, Convites/Material gráfico, Bartender, Fotógrafo/Videomaker, Buffet",47500,Semi-formal,Manhã,Religioso,Toscana
425,Não,Curitiba,Sim,Outono,"Salão, Bartender",42000,Formal,Manhã,Em ambiente fechado,Fernando de Noronha
313,Sim,Fortaleza,Sim,Verão,"Bartender, Doces e Bolo, Entretenimento (DJ, Banda)",5500,Semi-formal,Manhã,Ao ar livre,Cancún
344,Sim,Rio de Janeiro,Não,Inverno,"Celebrante, Buffet, Fotógrafo/Videomaker",9500,Semi-formal,Manhã,Ao ar livre,Bali
468,Sim,Fortaleza,Não,Outono,"Entretenimento (DJ, Banda), Cerimonialista, Convites/Material gráfico, Buffet, Flores/Decoração",14500,Semi-formal,Noite,Ao ar livre,Não
268,Sim,Salvador,Sim,Verão,"Celebrante, Doces e Bolo, Entretenimento (DJ, Banda), Flores/Decoração, Cerimonialista",6000,Casual,Tarde,Religioso,Cancún
120,Sim,Belo Horizonte,Não,Verão,"Salão, Bartender, Convites/Material gráfico, Cabelereira",27500,Semi-formal,Noite,Não-religioso,Não
135,Não,Porto Alegre,Sim,Outono,"Buffet, Cabelereira, Fotógrafo/Videomaker, Flores/Decoração, Celebrante",37000,Formal,Noite,Não-religioso,Cancún
483,Não,Curitiba,Sim,Inverno,"Doces e Bolo, Convites/Material gráfico, Salão, Buffet",5500,Formal,Manhã,Religioso,Não
112,Não,Fortaleza,Não,Outono,"Buffet, Doces e Bolo, Fotógrafo/Videomaker, Som e Iluminação, Salão, Cabelereira",47000,Casual,Manhã,Em ambiente fechado,Fernando de Noronha
401,Não,São Paulo,Sim,Verão,"Celebrante, Bartender, Salão, Buffet, Flores/Decoração, Entretenimento (DJ, Banda)",13500,Semi-formal,Manhã,Em ambiente fechado,Toscana
278,Não,Rio de Janeiro,Não,Primavera,"Cerimonialista, Doces e Bolo, Salão, Buffet, Cabelereira",5500,Casual,Manhã,Ao ar livre,Fernando de Noronha
223,Sim,Curitiba,Não,Primavera,"Convites/Material gráfico, Flores/Decoração",49500,Semi-formal,Noite,Não-religioso,Fernando de Noronha
330,Sim,São Paulo,Sim,Verão,"Salão, Som e Iluminação",8000,Semi-formal,Manhã,Ao ar livre,Bali
239,Não,Salvador,Não,Primavera,"Fotógrafo/Videomaker, Cerimonialista, Cabelereira",35000,Formal,Noite,Religioso,Maldivas
55,Não,Belo Horizonte,Não,Verão,"Celebrante, Flores/Decoração, Salão, Bartender, Fotógrafo/Videomaker, Doces e Bolo",33500,Semi-formal,Noite,Religioso,Maldivas
116,Não,Curitiba,Sim,Outono,"Bartender, Convites/Material gráfico, Cabelereira, Buffet, Doces e Bolo, Som e Iluminação",6000,Casual,Noite,Não-religioso,Não
427,Sim,Rio de Janeiro,Não,Primavera,"Fotógrafo/Videomaker, Doces e Bolo, Entretenimento (DJ, Banda), Bartender, Som e Iluminação, Cabelereira",39000,Semi-formal,Manhã,Ao ar livre,Maldivas
55,Sim,Belo Horizonte,Sim,Outono,"Cerimonialista, Celebrante, Fotógrafo/Videomaker, Som e Iluminação",18000,Semi-formal,Manhã,Em ambiente fechado,Toscana
342,Não,Belo Horizonte,Sim,Inverno,"Salão, Cerimonialista",38000,Formal,Tarde,Não-religioso,Cancún
182,Não,São Paulo,Não,Verão,"Entretenimento (DJ, Banda), Salão",32000,Casual,Noite,Religioso,Não
139,Sim,Belo Horizonte,Não,Primavera,"Cerimonialista, Celebrante, Flores/Decoração, Fotógrafo/Videomaker, Buffet, Convites/Material gráfico",20000,Casual,Tarde,Em ambiente fechado,Fernando de Noronha
156,Não,Salvador,Não,Verão,"Flores/Decoração, Doces e Bolo",28500,Formal,Manhã,Ao ar livre,Cancún
449,Sim,Belo Horizonte,Não,Inverno,"Bartender, Som e Iluminação, Cabelereira, Buffet, Entretenimento (DJ, Banda), Convites/Material gráfico",37000,Semi-formal,Noite,Ao ar livre,Toscana
403,Sim,Salvador,Sim,Primavera,"Convites/Material gráfico, Salão, Doces e Bolo, Entretenimento (DJ, Banda)",49000,Formal,Tarde,Ao ar livre,Toscana
400,Sim,São Paulo,Sim,Verão,"Fotógrafo/Videomaker, Entretenimento (DJ, Banda), Cabelereira",33500,Semi-formal,Manhã,Em ambiente fechado,Não
66,Não,Fortaleza,Sim,Primavera,"Fotógrafo/Videomaker, Cerimonialista, Bartender, Flores/Decoração, Som e Iluminação, Convites/Material gráfico",34500,Formal,Manhã,Não-religioso,Maldivas
53,Não,Salvador,Não,Verão,"Som e Iluminação, Salão, Bartender",24000,Casual,Manhã,Religioso,Bali
299,Sim,Rio de Janeiro,Sim,Primavera,"Salão, Convites/Material gráfico, Cabelereira, Som e Iluminação, Doces e Bolo, Flores/Decoração",17000,Casual,Tarde,Não-religioso,Maldivas
260,Sim,São Paulo,Não,Primavera,"Salão, Celebrante, Som e Iluminação, Doces e Bolo, Flores/Decoração, Fotógrafo/Videomaker",28500,Semi-formal,Manhã,Religioso,Cancún
254,Sim,Porto Alegre,Não,Primavera,"Buffet, Convites/Material gráfico, Som e Iluminação, Doces e Bolo, Entretenimento (DJ, Banda), Celebrante",16000,Casual,Tarde,Não-religioso,Cancún
491,Não,Curitiba,Não,Primavera,"Cabelereira, Bartender",27500,Semi-formal,Tarde,Não-religioso,Maldivas
319,Sim,São Paulo,Sim,Inverno,"Fotógrafo/Videomaker, Buffet, Bartender",16500,Formal,Manhã,Em ambiente fechado,Bali
147,Sim,São Paulo,Não,Outono,"Som e Iluminação, Buffet, Salão, Celebrante",26000,Casual,Noite,Ao ar livre,Toscana
82,Não,São Paulo,Não,Primavera,"Salão, Bartender, Cerimonialista, Doces e Bolo, Som e Iluminação",38000,Casual,Tarde,Não-religioso,Não
441,Não,Salvador,Sim,Inverno,"Cabelereira, Doces e Bolo",34000,Formal,Noite,Religioso,Bali
482,Sim,Rio de Janeiro,Não,Outono,"Fotógrafo/Videomaker, Som e Iluminação, Salão, Flores/Decoração, Bartender, Cabelereira",16000,Formal,Manhã,Religioso,Gramado
324,Não,Fortaleza,Sim,Inverno,"Salão, Celebrante, Doces e Bolo, Flores/Decoração, Cabelereira, Buffet",42000,Formal,Tarde,Em ambiente fechado,Paris
64,Sim,Salvador,Não,Inverno,"Cabelereira, Doces e Bolo",36500,Formal,Tarde,Não-religioso,Fernando de Noronha
251,Não,São Paulo,Sim,Verão,"Entretenimento (DJ, Banda), Cerimonialista, Celebrante, Som e Iluminação, Cabelereira",14000,Casual,Tarde,Ao ar livre,Paris
176,Sim,Salvador,Não,Inverno,"Celebrante, Buffet, Fotógrafo/Videomaker, Flores/Decoração",49000,Casual,Manhã,Religioso,Toscana
362,Sim,Rio de Janeiro,Não,Inverno,"Flores/Decoração, Fotógrafo/Videomaker, Cerimonialista, Celebrante",38000,Casual,Manhã,Ao ar livre,Paris
307,Sim,Rio de Janeiro,Não,Inverno,"Salão, Cerimonialista, Buffet, Fotógrafo/Videomaker, Cabelereira",13000,Casual,Manhã,Em ambiente fechado,Toscana
354,Sim,São Paulo,Não,Inverno,"Som e Iluminação, Flores/Decoração, Buffet",34500,Casual,Manhã,Religioso,Paris
457,Sim,Rio de Janeiro,Sim,Primavera,"Buffet, Convites/Material gráfico, Entretenimento (DJ, Banda), Celebrante, Cabelereira, Flores/Decoração",17500,Casual,Manhã,Religioso,Maldivas
383,Sim,Porto Alegre,Não,Verão,"Convites/Material gráfico, Som e Iluminação, Cabelereira, Flores/Decoração, Buffet",38000,Formal,Manhã,Em ambiente fechado,Não
397,Não,Fortaleza,Não,Verão,"Convites/Material gráfico, Entretenimento (DJ, Banda), Flores/Decoração, Bartender",26000,Formal,Tarde,Não-religioso,Não
369,Não,Rio de Janeiro,Sim,Primavera,"Entretenimento (DJ, Banda), Salão",33500,Casual,Manhã,Ao ar livre,Cancún
95,Sim,São Paulo,Não,Inverno,"Cerimonialista, Fotógrafo/Videomaker, Celebrante",35000,Semi-formal,Tarde,Religioso,Bali
374,Sim,Porto Alegre,Não,Outono,"Buffet, Entretenimento (DJ, Banda), Celebrante, Fotógrafo/Videomaker, Cabelereira",46000,Casual,Noite,Religioso,Cancún
112,Sim,Curitiba,Não,Primavera,"Celebrante, Entretenimento (DJ, Banda), Cabelereira, Flores/Decoração",19500,Casual,Manhã,Em ambiente fechado,Gramado
282,Sim,São Paulo,Sim,Verão,"Celebrante, Buffet",45500,Formal,Manhã,Ao ar livre,Toscana
476,Sim,Fortaleza,Sim,Inverno,"Fotógrafo/Videomaker, Flores/Decoração, Som e Iluminação",49500,Casual,Manhã,Em ambiente fechado,Não
219,Sim,Porto Alegre,Sim,Verão,"Fotógrafo/Videomaker, Flores/Decoração, Cerimonialista, Doces e Bolo",33500,Formal,Noite,Em ambiente fechado,Fernando de Noronha
169,Sim,Curitiba,Não,Inverno,"Bartender, Doces e Bolo, Som e Iluminação, Buffet, Salão",10500,Formal,Noite,Ao ar livre,Toscana
135,Não,Fortaleza,Sim,Outono,"Fotógrafo/Videomaker, Salão, Flores/Decoração, Cerimonialista",13500,Semi-formal,Noite,Ao ar livre,Não
431,Não,Porto Alegre,Sim,Primavera,"Cerimonialista, Celebrante, Som e Iluminação, Fotógrafo/Videomaker",29000,Formal,Noite,Religioso,Cancún
491,Sim,Rio de Janeiro,Não,Outono,"Celebrante, Doces e Bolo, Cabelereira, Cerimonialista",9000,Casual,Manhã,Religioso,Fernando de Noronha
478,Sim,São Paulo,Não,Verão,"Convites/Material gráfico, Fotógrafo/Videomaker, Celebrante, Entretenimento (DJ, Banda), Doces e Bolo",20500,Formal,Manhã,Ao ar livre,Fernando de Noronha
334,Não,Fortaleza,Não,Primavera,"Bartender, Buffet, Entretenimento (DJ, Banda), Convites/Material gráfico, Celebrante, Som e Iluminação",27500,Formal,Tarde,Em ambiente fechado,Gramado
205,Sim,São Paulo,Sim,Verão,"Cerimonialista, Buffet, Cabelereira, Fotógrafo/Videomaker, Celebrante",16000,Formal,Tarde,Não-religioso,Gramado
190,Sim,Salvador,Não,Primavera,"Buffet, Bartender",41500,Formal,Manhã,Não-religioso,Toscana
258,Sim,Fortaleza,Não,Primavera,"Buffet, Convites/Material gráfico, Cabelereira, Bartender",11000,Formal,Noite,Em ambiente fechado,Não
94,Não,Porto Alegre,Sim,Inverno,"Flores/Decoração, Doces e Bolo, Som e Iluminação, Cabelereira",44000,Semi-formal,Noite,Religioso,Maldivas
473,Sim,São Paulo,Não,Primavera,"Entretenimento (DJ, Banda), Doces e Bolo, Cerimonialista",7000,Formal,Manhã,Em ambiente fechado,Bali
404,Não,Porto Alegre,Sim,Outono,"Bartender, Cerimonialista, Doces e Bolo, Celebrante, Cabelereira",31000,Casual,Manhã,Não-religioso,Não
96,Não,São Paulo,Sim,Primavera,"Cabelereira, Entretenimento (DJ, Banda), Convites/Material gráfico, Celebrante, Doces e Bolo",20000,Formal,Manhã,Em ambiente fechado,Toscana
356,Sim,Rio de Janeiro,Não,Verão,"Celebrante, Buffet, Fotógrafo/Videomaker",25000,Casual,Manhã,Não-religioso,Não
471,Não,São Paulo,Sim,Verão,"Bartender, Convites/Material gráfico, Buffet, Fotógrafo/Videomaker",11000,Casual,Noite,Ao ar livre,Bali
118,Não,São Paulo,Sim,Primavera,"Bartender, Salão",33000,Casual,Noite,Em ambiente fechado,Paris
94,Sim,Porto Alegre,Não,Verão,"Flores/Decoração, Bartender, Cerimonialista",6500,Casual,Tarde,Em ambiente fechado,Gramado
196,Sim,Fortaleza,Não,Verão,"Entretenimento (DJ, Banda), Convites/Material gráfico",36000,Casual,Noite,Não-religioso,Gramado
350,Sim,Salvador,Sim,Verão,"Convites/Material gráfico, Cerimonialista",5000,Formal,Tarde,Religioso,Maldivas
50,Sim,Porto Alegre,Sim,Outono,"Celebrante, Fotógrafo/Videomaker, Doces e Bolo, Cabelereira",23000,Semi-formal,Manhã,Religioso,Bali
116,Não,Belo Horizonte,Sim,Inverno,"Convites/Material gráfico, Flores/Decoração, Entretenimento (DJ, Banda), Cerimonialista, Buffet",50000,Formal,Manhã,Ao ar livre,Fernando de Noronha
500,Sim,Porto Alegre,Sim,Outono,"Fotógrafo/Videomaker, Cerimonialista, Celebrante, Flores/Decoração, Entretenimento (DJ, Banda), Doces e Bolo",47000,Semi-formal,Manhã,Ao ar livre,Bali
118,Sim,Curitiba,Não,Inverno,"Cabelereira, Cerimonialista, Salão",15500,Casual,Manhã,Não-religioso,Maldivas
243,Não,Salvador,Não,Inverno,"Fotógrafo/Videomaker, Salão",32500,Formal,Tarde,Não-religioso,Toscana
74,Sim,Porto Alegre,Sim,Inverno,"Cabelereira, Bartender, Convites/Material gráfico",13000,Formal,Noite,Religioso,Bali
350,Não,Rio de Janeiro,Não,Inverno,"Fotógrafo/Videomaker, Som e Iluminação",21500,Semi-formal,Noite,Ao ar livre,Maldivas
131,Não,Salvador,Não,Verão,"Celebrante, Entretenimento (DJ, Banda), Doces e Bolo",29000,Casual,Noite,Religioso,Não
463,Não,São Paulo,Não,Primavera,"Bartender, Flores/Decoração",36500,Semi-formal,Tarde,Em ambiente fechado,Bali
297,Não,Salvador,Sim,Inverno,"Som e Iluminação, Cerimonialista, Buffet",27000,Casual,Noite,Não-religioso,Gramado
432,Não,Curitiba,Não,Verão,"Buffet, Salão, Cabelereira, Celebrante, Fotógrafo/Videomaker, Bartender",10500,Semi-formal,Tarde,Não-religioso,Paris
100,Não,Curitiba,Sim,Primavera,"Som e Iluminação, Convites/Material gráfico, Doces e Bolo",24000,Casual,Tarde,Em ambiente fechado,Cancún
444,Sim,Curitiba,Sim,Primavera,"Cerimonialista, Fotógrafo/Videomaker, Celebrante, Convites/Material gráfico, Flores/Decoração, Doces e Bolo",42500,Formal,Tarde,Em ambiente fechado,Gramado
189,Não,Porto Alegre,Não,Inverno,"Flores/Decoração, Buffet",48000,Casual,Noite,Religioso,Paris
477,Não,Belo Horizonte,Sim,Verão,"Salão, Convites/Material gráfico, Celebrante, Entretenimento (DJ, Banda)",5500,Casual,Noite,Religioso,Bali
314,Não,Curitiba,Não,Verão,"Som e Iluminação, Doces e Bolo, Buffet, Bartender, Entretenimento (DJ, Banda)",42000,Casual,Tarde,Religioso,Fernando de Noronha
237,Não,Rio de Janeiro,Sim,Verão,"Cabelereira, Doces e Bolo, Entretenimento (DJ, Banda)",31000,Casual,Noite,Em ambiente fechado,Paris
